area,perimeter,aspect_ratio,extent,solidity,centroid_x,centroid_y,label,image,mask_index,side,image_folder,mask_folder
9969.5,394.40916085243225,1.4886363636363635,0.8648074253990284,0.9903148902354226,0.0580499221289274,0.431896385304836,1,frame_0000.tif,2,l,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9486.0,421.4802281856537,1.7,0.871875,0.9555757026291932,0.936780337385096,0.4254046684569304,1,frame_0000.tif,6,r,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9939.0,392.9949476718903,1.5057471264367817,0.8720715977888918,0.9913720013964392,0.0583769612292531,0.4316102219587697,1,frame_0001.tif,2,l,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9704.5,424.8944420814514,1.6585365853658536,0.8702026542324247,0.9580906308618816,0.9368304501300242,0.4254670436948765,1,frame_0001.tif,6,r,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9850.5,392.0660156011581,1.4886363636363635,0.8544847328244275,0.9876673183937434,0.0581959020197866,0.4320075757575757,1,frame_0002.tif,3,l,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9642.0,426.7939373254776,1.691358024691358,0.8688834820221681,0.9545589545589546,0.9367508289714402,0.4245763458346038,1,frame_0002.tif,5,r,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9844.0,390.1665204763413,1.4942528735632183,0.8703801945181255,0.991139750302054,0.0582364757879513,0.4317350887692,1,frame_0003.tif,2,l,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9579.5,420.8944422006607,1.691358024691358,0.8632513291880688,0.9583812715722076,0.9364918678069054,0.4260982779198636,1,frame_0003.tif,5,r,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9831.5,392.0660148859024,1.5057471264367817,0.8626392910415022,0.9906791616283755,0.0581280468203835,0.4318504610672792,1,frame_0004.tif,2,l,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9734.5,424.89444267749786,1.670731707317073,0.8665212747017981,0.9571309178506464,0.9366446720511982,0.4256804940260438,1,frame_0004.tif,6,r,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
