area,perimeter,aspect_ratio,extent,solidity,centroid_x,centroid_y,label,image,mask_index,image_folder,mask_folder
3.5,9.41421353816986,2.5,0.35,1.0,0.504991060418938,0.7212571367944659,0,frame_0000.tif,0,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
0.0,2.0,2.0,0.0,0.0,0.49603973423484,0.2054561858342839,0,frame_0000.tif,1,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9969.5,394.40916085243225,1.4886363636363635,0.8648074253990284,0.9903148902354226,0.0580499221289274,0.431896385304836,1,frame_0000.tif,2,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
3514.0,229.4802284240723,0.9857142857142858,0.7275362318840579,0.976517993608448,0.2920873037147205,0.2819524073049253,0,frame_0000.tif,3,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
47.5,30.727921843528748,1.0,0.475,0.8407079646017699,0.5021905405461007,0.4996003021646265,0,frame_0000.tif,4,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
19.5,17.071067690849304,1.4,0.5571428571428572,0.975,0.0580122924003045,0.4329446400812157,0,frame_0000.tif,5,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
9486.0,421.4802281856537,1.7,0.871875,0.9555757026291932,0.936780337385096,0.4254046684569304,1,frame_0000.tif,6,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
717.0,166.4507919549942,0.819672131147541,0.2350819672131147,0.8445229681978799,0.899274375399106,0.3489757343550447,0,frame_0000.tif,7,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
133.5,48.38477599620819,2.0,0.6675,0.9535714285714286,0.7391138321314102,0.509982905982906,0,frame_0000.tif,8,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
87.5,34.72792172431946,1.0,0.7231404958677686,0.9887005649717514,0.4248422475961538,0.2066153846153846,0,frame_0000.tif,9,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
77.5,32.72792172431946,0.9090909090909092,0.7045454545454546,0.9872611464968152,0.0454994119623655,0.2361433691756272,0,frame_0000.tif,10,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
98.0,36.97056221961975,1.0,0.6805555555555556,0.98,0.2367697010869565,0.6643594202898551,0,frame_0000.tif,11,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\My_better_CLB_videos\5-9\s1_tifs,C:\Users\raglo\OneDrive - University of Arizona\Printz Lab\Data\Capillary_Bridges\masks_json
